ID,Tipo,SKU,Nombre,Publicado,Descripción,"Precio normal",Categorías,Imágenes,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1"
1361,simple,BH_1L2IP81_BH0111361,"Sándwich de bondiola C/Papas",1,,11000,"SIN TACC",,,,,
1362,simple,BH_U1MT14B_BH0101362,"Burguer del pueblo C/Papas",1,,9000,"SIN TACC",,,,,
1363,simple,BH_WAMGSM8_BH0091363,Muzarella,1,"<p>Salsa, queso, oregano, olivas</p><ul><li>Mayonesa $1000</li><li>Cheddar $ 1500</li><li>Aceitunas $ 2000</li></ul>",7500,"SIN TACC",https://bunkerhouse.com.ar/wp-content/uploads/2024/11/pizza_sin_tacc_1.jpg,,,,
1364,simple,BH_1X6N2IG_BH0081364,"Rucula y parmesano",1,"<p>Salsa, muza, rucula y parmesano</p><ul><li>Mayonesa $1000</li><li>Cheddar $ 1500</li><li>Aceitunas $ 2000</li></ul>",8500,"SIN TACC",https://bunkerhouse.com.ar/wp-content/uploads/2024/11/pizza_sin_tacc_1.jpg,,,,
1365,simple,BH_54GGXSJ_BH0071365,Fugazza,1,"<p>Salsa, queso, cebolla</p><ul><li>Mayonesa $1000</li><li>Cheddar $ 1500</li><li>Aceitunas $ 2000</li></ul>",8000,"SIN TACC",https://bunkerhouse.com.ar/wp-content/uploads/2024/11/pizza_sin_tacc_1.jpg,,,,
1366,simple,BH_77A3MWX_BH0061366,"Frutas flambeadas al rhum",-1,"Frutas de estación, rhum, azúcar, helado, salsa de chocolate",7500,DULCES,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/cake-921943_1920.jpg,,,,
1367,simple,BH_2TKA92G_BH0051367,Tiramisú,-1,Porcion,5000,DULCES,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/cake-921943_1920.jpg,,,,
1368,simple,BH_NO48B6X_BH0041368,"Peras al Malbec c/ helado",-1,,6500,DULCES,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/cake-921943_1920.jpg,,,,
1369,simple,BH_JKS4H59_BH0031369,Chocotorta,-1,Porcion,2500,"DULCES, DULCES > SHOT",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/cake-921943_1920.jpg,,,,
1370,simple,BH_53OH9HI_BH0021370,Tiramisú,-1,Porcion,2500,"DULCES, DULCES > SHOT",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/cake-921943_1920.jpg,,,,
1371,simple,BH_2EHGIMU_BH0011371,"Cheescake de frutos rojos",-1,Porcion,2500,"DULCES, DULCES > SHOT",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/cake-921943_1920.jpg,,,,
1431,"variation, virtual",BH_17GX4OL_BH0611311-01,"Limonada Clásica - Jarra",1,,9000,,,Tamaño,Jarra,,1
1432,"variation, virtual",BH_17GX4OL_BH0611311-02,"Limonada Clásica - Vaso",1,,4000,,,Tamaño,Vaso,,1
1433,variation,BH_NAAH9B8_BH0601312-01,"Limonada con Sprite - Jarra",1,,9000,,,Tamaño,Jarra,,1
1434,variation,BH_NAAH9B8_BH0601312-02,"Limonada con Sprite - Vaso",1,,4000,,,Tamaño,Vaso,,1
1435,"variation, virtual",BH_6P8YA37_BH0591313-01,"Limonada con Arándanos - Jarra",1,,9500,,,Tamaño,Jarra,,1
1436,"variation, virtual",BH_6P8YA37_BH0591313-02,"Limonada con Arándanos - Vaso",1,,4500,,,Tamaño,Vaso,,1
1440,variation,BH_4MZ1I3K_BH0531319-01,"Vodka - Jarra",1,,6000,,,Tamaño,Jarra,,1
1441,variation,BH_4MZ1I3K_BH0531319-02,"Vodka - Vaso",1,,3500,,,Tamaño,Vaso,,1
1442,variation,BH_1W26WNK_BH0551317-01,"Fernet Branca - Jarra",1,,6000,,,Tamaño,Jarra,,1
1443,variation,BH_1W26WNK_BH0551317-02,"Fernet Branca - Vaso",1,,3500,,,Tamaño,Vaso,,1
1560,simple,BH_V23248H1560_BH001,"Cynar julep",1,,5000,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,,,,
1564,simple,BH_SGGNIHG1564_BH001,"Miller 330",1,"Cerveza pinina",3500,CERVEZAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/beer_rubia.png,,,,
1624,simple,BH_KBE7Q411624_BH001,"Barón b",1,,40000,CHAMPAGNE,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/white_champagne-scaled-1.jpg,,,,
1625,simple,BH_PA3WC6I1625_BH001,"Santa Julia blanco",1,,8000,"VINOS BLANCOS",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/white_wine-scaled-1.jpg,,,,
1626,simple,BH_YHP2P691626_BH001,"Dv catena malbec",1,,22000,"VINOS TINTOS",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/pexels-photo-391213.webp,,,,
1630,variable,BH_1TOMT2N1630_BH001,"Limonada Citric",1,,,"SIN ALCOHOL",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/pexels-photo-1320997.webp,Tamaño,"Jarra, Vaso",1,1
1631,variable,BH_24UK6211631_BH001,"Limonada frutos rojos",1,,,"SIN ALCOHOL",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/pexels-photo-1320997.webp,Tamaño,"Jarra, Vaso",1,1
1632,simple,BH_4HDD3Q51632_BH001,"Vodka + paso de los toros",1,,3000,"TRAGOS, TRAGOS > VODKA",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/cocteles_1-scaled-1.jpg,,,,
1633,simple,BH_GFWTE2O1633_BH001,"Vodka + sprite",1,,3000,"TRAGOS, TRAGOS > VODKA",https://bunkerhouse.com.ar/wp-content/uploads/2024/11/cocteles_1-scaled.jpg,,,,
1634,simple,BH_ZR619721634_BH001,"Vodka + speed",1,,3500,"TRAGOS, TRAGOS > VODKA",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/cocteles_1-scaled-1.jpg,,,,
1635,simple,BH_Y8I14PS1635_BH001,"Vodka + red bull",1,,4200,"TRAGOS, TRAGOS > VODKA",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/cocteles_1-scaled-1.jpg,,,,
1636,simple,BH_DJ1WN2Y1636_BH001,"Vodka + mango loco",1,,4200,TODAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/cocteles_1-scaled-1.jpg,,,,
1637,simple,BH_3I5W72U1637_BH001,"Las Perdices Torrontes",1,,12000,"VINOS BLANCOS",https://bunkerhouse.com.ar/wp-content/uploads/2024/12/white_wine-scaled-1.jpg,,,,
1638,simple,BH_RGLS7Q21638_BH001,"Pinta sta fe",1,,2500,CERVEZAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/beer_rubia.png,,,,
1639,simple,BH_Z41BRRX1639_BH001,"Pinta heineken",1,,4000,CERVEZAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/beer_rubia.png,,,,
1640,simple,BH_TGN93331640_BH001,"Chopp heineken 500cc",1,,6000,CERVEZAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/beer_rubia.png,,,,
1641,simple,BH_BP9Z79D1641_BH001,"Jhonie walker double Black",1,,12000,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/cocteles_1-scaled-1.jpg,,,,
1642,simple,BH_YZHK1NW1642_BH001,"Chivas 12",1,,9000,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/cocteles_1-scaled-1.jpg,,,,
1643,simple,BH_6YD9F7Y1643_BH001,"Medida fernet",1,,2500,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/cocteles_1-scaled-1.jpg,,,,
1646,variation,BH_24UK6211631_BH001-01,"Limonada frutos rojos - Jarra",1,,9500,,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/pexels-photo-1320997.webp,Tamaño,Jarra,,1
1647,variation,BH_24UK6211631_BH001-02,"Limonada frutos rojos - Vaso",1,,4500,,,Tamaño,Vaso,,1
1648,variation,BH_1TOMT2N1630_BH001-01,"Limonada Citric - Jarra",1,,9500,,,Tamaño,Jarra,,1
1649,variation,BH_1TOMT2N1630_BH001-02,"Limonada Citric - Vaso",1,,4500,,,Tamaño,Vaso,,1
1652,variation,BH_WRK386M_BH0361336-02,"La clasica - Completa",1,,18000,,,Porcion,Completa,,1
1656,variation,BH_5549AVM_BH0351337-02,"La del medio - Completa",1,,26000,,,Porcion,Completa,,1
1657,variation,BH_D78C9JV_BH0341338-01,"Super bunker - 1/2 Picada",1,,25000,,,Porcion,"1/2 Picada",,1
1658,variation,BH_D78C9JV_BH0341338-02,"Super bunker - Completa",1,,40000,,,Porcion,Completa,,1
1699,variation,BH_793TFR7_BH0191353-01,"La común - 1/2 Porcion",1,,0,,,Porcion,"1/2 Porcion",,1
1700,variation,BH_793TFR7_BH0191353-02,"La común - Completa",1,,6000,,,Porcion,Completa,,1
1772,simple,BH_T8CJYE61772_BH001,"Gin Tanqueray",1,,7500,TRAGOS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/cocteles_1-scaled-1.jpg,,,,
1841,simple,,"Super Lomito en pan casero (Para 2)",-1,"<p>Lomo, mayonesa, rucula, tomate, jamón, queso, sale con papas</p>",20000,"ENTRE PANES CALIENTES",https://bunkerhouse.com.ar/wp-content/uploads/2025/01/lomito.webp,,,,
1842,simple,,"Lomito en pan de miga",1,"<p>Lomito, lechuga, tomate, doble queso, doble jamón, mayonesa</p>",19000,"ENTRE PANES CALIENTES",https://bunkerhouse.com.ar/wp-content/uploads/2025/01/lomito.webp,,,,
1844,simple,,"Lomito en pan torpedo",-1,"Lomo, lechuga, tomate, doble queso, doble jamón, mayonesa",14000,"ENTRE PANES CALIENTES",https://bunkerhouse.com.ar/wp-content/uploads/2025/01/lomito.webp,,,,
1845,simple,BH_KX968JL1845_BH001,"Picada Chopera",1,"Salamín, queso, jamón cocido, aceitunas, pan",10000,PICADAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/BULLANGA-5.jpg,,,,
1846,simple,,Rabas,-1,,14000,PICADAS,https://bunkerhouse.com.ar/wp-content/uploads/2025/01/rabas.webp,,,,
1881,simple,BH_7CDGZ5U1881_BH001,"MILANESA C/ PAPAS FRITAS O MEZCLUN DE VEGETALES",1,,12500,"PLATOS ELABORADOS","https://bunkerhouse.com.ar/wp-content/uploads/2025/07/milanesa-con-papas-fritas.webp, https://bunkerhouse.com.ar/wp-content/uploads/2025/07/images.webp",,,,
1882,simple,BH_OP96URR1882_BH001,"MEZCLUN DE VEGETALES",1,,12500,"PLATOS ELABORADOS",https://bunkerhouse.com.ar/wp-content/uploads/2025/07/images.webp,,,,
1884,simple,BH_582HEY71884_BH001,"BONDIOLA A LA CERVEZA NEGRA C/ MIL HOJAS DE PAPAS O ENSALADA",1,,16000,"PLATOS ELABORADOS",https://bunkerhouse.com.ar/wp-content/uploads/2025/07/images-1.webp,,,,
1887,simple,BH_U8UI6I41887_BH001,"FILET DE SURUBÍ EN SALSA 4 QUESOS C/ PAPITAS FRITAS CUADRADAS",1,,20000,"PLATOS ELABORADOS",https://bunkerhouse.com.ar/wp-content/uploads/2025/07/surubi625x408.webp,,,,
1891,simple,BH_LWKW6M41891_BH001,"SORRENTINOS ( CONSULTAR SABORES)",1,"<ul>\n 	<li>Verdeo $ 4000</li>\n 	<li>4 quesos $ 5000</li>\n 	<li>Hongos de pino a la crema $ 6000</li>\n 	<li>Roja $ 3000</li>\n</ul>",6000,"PLATOS ELABORADOS > PASTAS, PLATOS ELABORADOS",https://bunkerhouse.com.ar/wp-content/uploads/2025/07/sorrentinos-caseros-de-ricota-jamon-y-mozzarella_web.webp,,,,
1892,simple,BH_7M357NE1892_BH001,"TALLARINES AL HUEVO",1,"<ul>\n 	<li>Verdeo $ 4000</li>\n 	<li>4 quesos $ 5000</li>\n 	<li>Hongos de pino a la crema $ 6000</li>\n 	<li>Roja $ 3000</li>\n</ul>",4500,"PLATOS ELABORADOS > PASTAS, PLATOS ELABORADOS",https://bunkerhouse.com.ar/wp-content/uploads/2025/07/tall.webp,,,,
1899,simple,BH_FX3T8BK1899_BH001,"Fernet Branca",1,"Fernet Branca con Coca Cola",4000,COCKTAILS,https://bunkerhouse.com.ar/wp-content/uploads/2025/07/shutterstock_2140552827-scaled-1.webp,,,,
1909,simple,BH_256T1K51909_BH001,"Gin tonic Blu",1,"Gin Blu con tonica",5000,COCKTAILS,https://bunkerhouse.com.ar/wp-content/uploads/2025/07/0BE0zi9W6cgYlgzy9LKf5ML34iASNyVTyvdWjpn5.webp,,,,
1910,simple,BH_5GC3Z7F1910_BH001,"Carpano Originale",1,"Carpano Rosso, Soda y aceituna",4300,COCKTAILS,https://bunkerhouse.com.ar/wp-content/uploads/2025/07/Carpano-Rosso-001-Mercado.webp,,,,
1911,simple,BH_1DHAR991911_BH001,"Carpano Orange",1,"Carpano Rosso, soda y una rodaja de naranja",4000,COCKTAILS,https://bunkerhouse.com.ar/wp-content/uploads/2025/07/c1-965cf7eab581b2d14215756305806242-1024-1024.webp,,,,
1912,simple,BH_K4OFNE91912_BH001,"Carpano Bianco Tonic",1,"Carpano Bianco, tonica y rodaja de limón",4000,COCKTAILS,https://bunkerhouse.com.ar/wp-content/uploads/2025/07/0c9c52265667bb43f85c5c03485de6a1.webp,,,,
1913,simple,BH_2JWK3VM1913_BH001,"Mint tonic",1,"Branca Menta ricetta italiana con tonica",3500,COCKTAILS,https://bunkerhouse.com.ar/wp-content/uploads/2025/07/b38824b7e6d848537acde69794d40139.webp,,,,
1914,simple,BH_RRY9JKN1914_BH001,"Sernova Tonic",1,"Vodka Sernova con tónica",4000,COCKTAILS,https://bunkerhouse.com.ar/wp-content/uploads/2025/07/sernova-evolution-tonic.webp,,,,
1915,simple,BH_811N6IZ1915_BH001,"Punt e Mes tonic",1,"Punt e mes, tónica y rodaja de limón",4000,COCKTAILS,https://bunkerhouse.com.ar/wp-content/uploads/2025/07/a07493_f0db0652b203487583579757585696d2_mv2.webp,,,,
1921,variable,BH_6227S141921_BH001,"La Del Pueblo",1,"Milanesas, papas fritas, pan, aderezos",,PICADAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/BULLANGA-5.jpg,Porcion,"1/2 Picada, Completa",1,1
1922,variation,,"La Del Pueblo - Completa",1,,18000,,,Porcion,Completa,,1
1923,simple,BH_5S816P81923_BH001,Tostado,1,"Miga, jamón cocido, tybo\n<div id=""gtx-trans"" style=""position: absolute; left: 359px; top: 45px;"">\n<div class=""gtx-trans-icon""></div>\n</div>",6500,"ENTRE PANES CALIENTES",https://bunkerhouse.com.ar/wp-content/uploads/2025/01/lomito.webp,,,,
1924,simple,BH_P54BXNU_BH0121360-1,"Roquefort y peras (copia)",-1,"Queso, roquefort, peras y nueces",8000,PIZZAS,https://bunkerhouse.com.ar/wp-content/uploads/2024/12/maxresdefault.webp,,,,
1925,simple,BH_5CTC774_BH0151357-1,Napolitana,1,"Salsa, queso, rodajas de tomate",7000,PIZZAS,https://bunkerhouse.com.ar/wp-content/uploads/2025/09/8metlvp345_portada-pizza.webp,,,,
1927,simple,BH_5CTC774_BH0151357-2,Calabresa,1,"Salsa, queso, cantimpalo\n<div id=""gtx-trans"" style=""position: absolute; left: 375px; top: 45px;"">\n<div class=""gtx-trans-icon""></div>\n</div>",8000,PIZZAS,https://bunkerhouse.com.ar/wp-content/uploads/2025/09/pizza-calabrese-with-salami-mozzarella-rosemary-and-calabrian-chile-paste.webp,,,,
